Plobata010000001.1_cds_CAH3032177.1_1	Plobata00000001
Plobata010000001.1_cds_CAH3032239.1_32	Plobata00000193
Plobata010000001.1_cds_CAH3032241.1_33	Plobata00000201
Plobata010000001.1_cds_CAH3032243.1_34	Plobata00000220
Plobata010000001.1_cds_CAH3032245.1_35	Plobata00000224
Plobata010000001.1_cds_CAH3032247.1_36	Plobata00000219
Plobata010000001.1_cds_CAH3032249.1_37	Plobata00000232
Plobata010000001.1_cds_CAH3032251.1_38	Plobata00000241
Plobata010000001.1_cds_CAH3032253.1_39	Plobata00000239
Plobata010000001.1_cds_CAH3032255.1_40	Plobata00000240
Plobata010000001.1_cds_CAH3032257.1_41	Plobata00000263
Plobata010000001.1_cds_CAH3032259.1_42	Plobata00000286
Plobata010000001.1_cds_CAH3032261.1_43	Plobata00000290
Plobata010000001.1_cds_CAH3032263.1_44	Plobata00000295
Plobata010000001.1_cds_CAH3032265.1_45	Plobata00000326
Plobata010000001.1_cds_CAH3032267.1_46	Plobata00000332
Plobata010000001.1_cds_CAH3032269.1_47	Plobata00000338
Plobata010000001.1_cds_CAH3032271.1_48	Plobata00000344
Plobata010000001.1_cds_CAH3032272.1_49	Plobata00000350
Plobata010000001.1_cds_CAH3032274.1_50	Plobata00000355
Plobata010000001.1_cds_CAH3032276.1_51	Plobata00000360
Plobata010000001.1_cds_CAH3032278.1_52	Plobata00000361
Plobata010000001.1_cds_CAH3032280.1_53	Plobata00000362
Plobata010000001.1_cds_CAH3032282.1_54	Plobata00000363
Plobata010000001.1_cds_CAH3032284.1_55	Plobata00000364
Plobata010000001.1_cds_CAH3032286.1_56	Plobata00000365
Plobata010000001.1_cds_CAH3032288.1_57	Plobata00000366
Plobata010000001.1_cds_CAH3032290.1_58	Plobata00000367
Plobata010000001.1_cds_CAH3032292.1_59	Plobata00000368
Plobata010000001.1_cds_CAH3032294.1_60	Plobata00000369
Plobata010000001.1_cds_CAH3032296.1_61	Plobata00000370
Plobata010000001.1_cds_CAH3032298.1_62	Plobata00000371
Plobata010000001.1_cds_CAH3032299.1_63	Plobata00000372
Plobata010000001.1_cds_CAH3032300.1_64	Plobata00000373
Plobata010000001.1_cds_CAH3032301.1_65	Plobata00000374
Plobata010000001.1_cds_CAH3032302.1_66	Plobata00000375
Plobata010000001.1_cds_CAH3032303.1_67	Plobata00000376
Plobata010000001.1_cds_CAH3032304.1_68	Plobata00000377
Plobata010000001.1_cds_CAH3032305.1_69	Plobata00000379
Plobata010000001.1_cds_CAH3032306.1_70	Plobata00000380
Plobata010000001.1_cds_CAH3032307.1_71	Plobata00000381
Plobata010000001.1_cds_CAH3032308.1_72	Plobata00000383
Plobata010000001.1_cds_CAH3032309.1_73	Plobata00000382
Plobata010000001.1_cds_CAH3032310.1_74	Plobata00000384
Plobata010000001.1_cds_CAH3032311.1_75	Plobata00000385
Plobata010000001.1_cds_CAH3032312.1_76	Plobata00000386
Plobata010000001.1_cds_CAH3032313.1_77	Plobata00000387
Plobata010000001.1_cds_CAH3032314.1_78	Plobata00000388
Plobata010000001.1_cds_CAH3032315.1_79	Plobata00000390
Plobata010000001.1_cds_CAH3032316.1_80	Plobata00000391
Plobata010000001.1_cds_CAH3032317.1_81	Plobata00000392
Plobata010000001.1_cds_CAH3032318.1_82	Plobata00000393
Plobata010000001.1_cds_CAH3032319.1_83	Plobata00000395
Plobata010000001.1_cds_CAH3032320.1_84	Plobata00000396
Plobata010000001.1_cds_CAH3032321.1_85	Plobata00000397
Plobata010000001.1_cds_CAH3032322.1_86	Plobata00000398
Plobata010000001.1_cds_CAH3032323.1_87	Plobata00000399
Plobata010000001.1_cds_CAH3032324.1_88	Plobata00000401
Plobata010000001.1_cds_CAH3032325.1_89	Plobata00000400
Plobata010000001.1_cds_CAH3032326.1_90	Plobata00000404
Plobata010000001.1_cds_CAH3032327.1_91	Plobata00000405
Plobata010000001.1_cds_CAH3032329.1_92	Plobata00000406
Plobata010000001.1_cds_CAH3032330.1_93	Plobata00000407
Plobata010000001.1_cds_CAH3032331.1_94	Plobata00000409
Plobata010000001.1_cds_CAH3032333.1_95	Plobata00000410
Plobata010000001.1_cds_CAH3032335.1_96	Plobata00000411
Plobata010000001.1_cds_CAH3032337.1_97	Plobata00000412
Plobata010000001.1_cds_CAH3032339.1_98	Plobata00000413
Plobata010000001.1_cds_CAH3032341.1_99	Plobata00000414
Plobata010000001.1_cds_CAH3032343.1_100	Plobata00000416
Plobata010000001.1_cds_CAH3032345.1_101	Plobata00000417
Plobata010000001.1_cds_CAH3032347.1_102	Plobata00000418
Plobata010000001.1_cds_CAH3032349.1_103	Plobata00000419
Plobata010000001.1_cds_CAH3032351.1_104	Plobata00000422
Plobata010000001.1_cds_CAH3032353.1_105	Plobata00000423
Plobata010000001.1_cds_CAH3032355.1_106	Plobata00000424
Plobata010000001.1_cds_CAH3032357.1_107	Plobata00000425
Plobata010000001.1_cds_CAH3032359.1_108	Plobata00000427
Plobata010000001.1_cds_CAH3032361.1_109	Plobata00000428
Plobata010000001.1_cds_CAH3032362.1_110	Plobata00000429
Plobata010000001.1_cds_CAH3032363.1_111	Plobata00000430
Plobata010000001.1_cds_CAH3032364.1_112	Plobata00000431
Plobata010000001.1_cds_CAH3032365.1_113	Plobata00000432
Plobata010000001.1_cds_CAH3032366.1_114	Plobata00000433
Plobata010000001.1_cds_CAH3032367.1_115	Plobata00000434
Plobata010000001.1_cds_CAH3032368.1_116	Plobata00000436
Plobata010000001.1_cds_CAH3032369.1_117	Plobata00000439
Plobata010000001.1_cds_CAH3032370.1_118	Plobata00000442
Plobata010000001.1_cds_CAH3032371.1_119	Plobata00000443
Plobata010000001.1_cds_CAH3032372.1_120	Plobata00000444
Plobata010000001.1_cds_CAH3032373.1_121	Plobata00000445
Plobata010000001.1_cds_CAH3032374.1_122	Plobata00000446
Plobata010000001.1_cds_CAH3032375.1_123	Plobata00000447
Plobata010000001.1_cds_CAH3032376.1_124	Plobata00000448
Plobata010000001.1_cds_CAH3032377.1_125	Plobata00000449
Plobata010000001.1_cds_CAH3032378.1_126	Plobata00000451
Plobata010000001.1_cds_CAH3032379.1_127	Plobata00000452
Plobata010000001.1_cds_CAH3032380.1_128	Plobata00000453
Plobata010000001.1_cds_CAH3032381.1_129	Plobata00000454
Plobata010000001.1_cds_CAH3032382.1_130	Plobata00000455
Plobata010000001.1_cds_CAH3032383.1_131	Plobata00000456
Plobata010000001.1_cds_CAH3032384.1_132	Plobata00000457
Plobata010000001.1_cds_CAH3032385.1_133	Plobata00000459
Plobata010000001.1_cds_CAH3032386.1_134	Plobata00000460
Plobata010000001.1_cds_CAH3032387.1_135	Plobata00000462
Plobata010000001.1_cds_CAH3032388.1_136	Plobata00000463
Plobata010000001.1_cds_CAH3032389.1_137	Plobata00000464
Plobata010000001.1_cds_CAH3032390.1_138	Plobata00000465
Plobata010000001.1_cds_CAH3032391.1_139	Plobata00000466
Plobata010000001.1_cds_CAH3032392.1_140	Plobata00000467
Plobata010000001.1_cds_CAH3032393.1_141	Plobata00000468
Plobata010000001.1_cds_CAH3032394.1_142	Plobata00000469
Plobata010000001.1_cds_CAH3032396.1_143	Plobata00000471
Plobata010000001.1_cds_CAH3032398.1_144	Plobata00000474
Plobata010000001.1_cds_CAH3032400.1_145	Plobata00000475
Plobata010000001.1_cds_CAH3032402.1_146	Plobata00000476
Plobata010000001.1_cds_CAH3032404.1_147	Plobata00000477
Plobata010000001.1_cds_CAH3032406.1_148	Plobata00000479
Plobata010000001.1_cds_CAH3032408.1_149	Plobata00000480
Plobata010000001.1_cds_CAH3032410.1_150	Plobata00000481
Plobata010000001.1_cds_CAH3032412.1_151	Plobata00000482
Plobata010000001.1_cds_CAH3032414.1_152	Plobata00000483
Plobata010000001.1_cds_CAH3032416.1_153	Plobata00000484
Plobata010000001.1_cds_CAH3032418.1_154	Plobata00000486
Plobata010000001.1_cds_CAH3032420.1_155	Plobata00000487
Plobata010000001.1_cds_CAH3032422.1_156	Plobata00000488
Plobata010000001.1_cds_CAH3032424.1_157	Plobata00000489
Plobata010000001.1_cds_CAH3032426.1_158	Plobata00000491
Plobata010000001.1_cds_CAH3032427.1_159	Plobata00000492
Plobata010000001.1_cds_CAH3032428.1_160	Plobata00000493
Plobata010000001.1_cds_CAH3032429.1_161	Plobata00000494
Plobata010000001.1_cds_CAH3032430.1_162	Plobata00000495
Plobata010000001.1_cds_CAH3032431.1_163	Plobata00000496
Plobata010000001.1_cds_CAH3032432.1_164	Plobata00000497
Plobata010000001.1_cds_CAH3032433.1_165	Plobata00000498
Plobata010000001.1_cds_CAH3032434.1_166	Plobata00000499
Plobata010000001.1_cds_CAH3032435.1_167	Plobata00000500
Plobata010000001.1_cds_CAH3032436.1_168	Plobata00000502
Plobata010000001.1_cds_CAH3032437.1_169	Plobata00000503
Plobata010000001.1_cds_CAH3032438.1_170	Plobata00000505
Plobata010000001.1_cds_CAH3032439.1_171	Plobata00000506
Plobata010000001.1_cds_CAH3032440.1_172	Plobata00000507
Plobata010000001.1_cds_CAH3032441.1_173	Plobata00000508
Plobata010000001.1_cds_CAH3032442.1_174	Plobata00000510
Plobata010000001.1_cds_CAH3032443.1_175	Plobata00000511
Plobata010000001.1_cds_CAH3032444.1_176	Plobata00000512
Plobata010000001.1_cds_CAH3032445.1_177	Plobata00000514
Plobata010000001.1_cds_CAH3032446.1_178	Plobata00000515
Plobata010000001.1_cds_CAH3032447.1_179	Plobata00000516
Plobata010000001.1_cds_CAH3032448.1_180	Plobata00000517
Plobata010000001.1_cds_CAH3032449.1_181	Plobata00000521
Plobata010000001.1_cds_CAH3032450.1_182	Plobata00000518
Plobata010000001.1_cds_CAH3032451.1_183	Plobata00000519
Plobata010000001.1_cds_CAH3032452.1_184	Plobata00000520
Plobata010000001.1_cds_CAH3032453.1_185	Plobata00000525
Plobata010000001.1_cds_CAH3032454.1_186	Plobata00000524
Plobata010000001.1_cds_CAH3032455.1_187	Plobata00000523
Plobata010000001.1_cds_CAH3032456.1_188	Plobata00000527
Plobata010000001.1_cds_CAH3032457.1_189	Plobata00000526
Plobata010000001.1_cds_CAH3032458.1_190	Plobata00000528
Plobata010000001.1_cds_CAH3032459.1_191	Plobata00000529
Plobata010000001.1_cds_CAH3032460.1_192	Plobata00000533
Plobata010000001.1_cds_CAH3032461.1_193	Plobata00000534
Plobata010000001.1_cds_CAH3032462.1_194	Plobata00000535
Plobata010000001.1_cds_CAH3032464.1_195	Plobata00000536
Plobata010000001.1_cds_CAH3032466.1_196	Plobata00000538
Plobata010000001.1_cds_CAH3032468.1_197	Plobata00000539
Plobata010000001.1_cds_CAH3032470.1_198	Plobata00000540
Plobata010000001.1_cds_CAH3032472.1_199	Plobata00000541
Plobata010000001.1_cds_CAH3032474.1_200	Plobata00000542
Plobata010000001.1_cds_CAH3032476.1_201	Plobata00000543
Plobata010000001.1_cds_CAH3032478.1_202	Plobata00000544
Plobata010000001.1_cds_CAH3032479.1_203	Plobata00000545
Plobata010000001.1_cds_CAH3032480.1_204	Plobata00000546
Plobata010000001.1_cds_CAH3032481.1_205	Plobata00000547
Plobata010000001.1_cds_CAH3032482.1_206	Plobata00000548
Plobata010000001.1_cds_CAH3032483.1_207	Plobata00000550
Plobata010000001.1_cds_CAH3032484.1_208	Plobata00000551
Plobata010000001.1_cds_CAH3032485.1_209	Plobata00000552
Plobata010000001.1_cds_CAH3032486.1_210	Plobata00000553
Plobata010000001.1_cds_CAH3032487.1_211	Plobata00000554
Plobata010000001.1_cds_CAH3032488.1_212	Plobata00000555
Plobata010000001.1_cds_CAH3032489.1_213	Plobata00000560
Plobata010000001.1_cds_CAH3032490.1_214	Plobata00000559
Plobata010000001.1_cds_CAH3032491.1_215	Plobata00000558
Plobata010000001.1_cds_CAH3032492.1_216	Plobata00000562
Plobata010000001.1_cds_CAH3032493.1_217	Plobata00000566
Plobata010000001.1_cds_CAH3032494.1_218	Plobata00000564
Plobata010000001.1_cds_CAH3032495.1_219	Plobata00000570
Plobata010000001.1_cds_CAH3032496.1_220	Plobata00000571
Plobata010000001.1_cds_CAH3032497.1_221	Plobata00000572
Plobata010000001.1_cds_CAH3032498.1_222	Plobata00000573
Plobata010000001.1_cds_CAH3032499.1_223	Plobata00000574
Plobata010000001.1_cds_CAH3032500.1_224	Plobata00000575
Plobata010000001.1_cds_CAH3032501.1_225	Plobata00000577
Plobata010000001.1_cds_CAH3032503.1_226	Plobata00000579
Plobata010000001.1_cds_CAH3032505.1_227	Plobata00000581
Plobata010000001.1_cds_CAH3032507.1_228	Plobata00000582
Plobata010000001.1_cds_CAH3032509.1_229	Plobata00000583
Plobata010000001.1_cds_CAH3032511.1_230	Plobata00000584
Plobata010000001.1_cds_CAH3032512.1_231	Plobata00000585
Plobata010000001.1_cds_CAH3032514.1_232	Plobata00000586
Plobata010000001.1_cds_CAH3032516.1_233	Plobata00000588
Plobata010000001.1_cds_CAH3032518.1_234	Plobata00000589
Plobata010000001.1_cds_CAH3032520.1_235	Plobata00000591
Plobata010000001.1_cds_CAH3032522.1_236	Plobata00000592
Plobata010000001.1_cds_CAH3032524.1_237	Plobata00000593
Plobata010000001.1_cds_CAH3032526.1_238	Plobata00000594
Plobata010000001.1_cds_CAH3032528.1_239	Plobata00000595
Plobata010000001.1_cds_CAH3032530.1_240	Plobata00000596
Plobata010000001.1_cds_CAH3032532.1_241	Plobata00000597
Plobata010000001.1_cds_CAH3032534.1_242	Plobata00000598
Plobata010000001.1_cds_CAH3032535.1_243	Plobata00000600
Plobata010000001.1_cds_CAH3032537.1_244	Plobata00000601
Plobata010000001.1_cds_CAH3032538.1_245	Plobata00000602
Plobata010000001.1_cds_CAH3032539.1_246	Plobata00000603
Plobata010000001.1_cds_CAH3032540.1_247	Plobata00000606
Plobata010000001.1_cds_CAH3032541.1_248	Plobata00000607
Plobata010000001.1_cds_CAH3032542.1_249	Plobata00000608
Plobata010000001.1_cds_CAH3032543.1_250	Plobata00000612
Plobata010000001.1_cds_CAH3032544.1_251	Plobata00000613
Plobata010000001.1_cds_CAH3032545.1_252	Plobata00000614
Plobata010000001.1_cds_CAH3032546.1_253	Plobata00000615
Plobata010000001.1_cds_CAH3032547.1_254	Plobata00000616
Plobata010000001.1_cds_CAH3032549.1_255	Plobata00000004
Plobata010000001.1_cds_CAH3032550.1_256	Plobata00000005
Plobata010000001.1_cds_CAH3032551.1_257	Plobata00000006
Plobata010000001.1_cds_CAH3032552.1_258	Plobata00000007
Plobata010000001.1_cds_CAH3032553.1_259	Plobata00000008
Plobata010000001.1_cds_CAH3032554.1_260	Plobata00000009
Plobata010000001.1_cds_CAH3032555.1_261	Plobata00000010
Plobata010000001.1_cds_CAH3032556.1_262	Plobata00000012
Plobata010000001.1_cds_CAH3032557.1_263	Plobata00000013
Plobata010000001.1_cds_CAH3032558.1_264	Plobata00000014
Plobata010000001.1_cds_CAH3032559.1_265	Plobata00000015
Plobata010000001.1_cds_CAH3032560.1_266	Plobata00000016
Plobata010000001.1_cds_CAH3032561.1_267	Plobata00000018
Plobata010000001.1_cds_CAH3032562.1_268	Plobata00000019
Plobata010000001.1_cds_CAH3032563.1_269	Plobata00000020
Plobata010000001.1_cds_CAH3032564.1_270	Plobata00000022
Plobata010000001.1_cds_CAH3032565.1_271	Plobata00000023
Plobata010000001.1_cds_CAH3032566.1_272	Plobata00000025
Plobata010000001.1_cds_CAH3032567.1_273	Plobata00000026
Plobata010000001.1_cds_CAH3032568.1_274	Plobata00000027
Plobata010000001.1_cds_CAH3032569.1_275	Plobata00000028
Plobata010000001.1_cds_CAH3032570.1_276	Plobata00000031
Plobata010000001.1_cds_CAH3032571.1_277	Plobata00000033
Plobata010000001.1_cds_CAH3032572.1_278	Plobata00000034
Plobata010000001.1_cds_CAH3032573.1_279	Plobata00000036
Plobata010000001.1_cds_CAH3032574.1_280	Plobata00000037
Plobata010000001.1_cds_CAH3032575.1_281	Plobata00000038
Plobata010000001.1_cds_CAH3032576.1_282	Plobata00000042
Plobata010000001.1_cds_CAH3032577.1_283	Plobata00000043
Plobata010000001.1_cds_CAH3032578.1_284	Plobata00000044
Plobata010000001.1_cds_CAH3032579.1_285	Plobata00000047
Plobata010000001.1_cds_CAH3032580.1_286	Plobata00000048
Plobata010000001.1_cds_CAH3032581.1_287	Plobata00000049
Plobata010000001.1_cds_CAH3032582.1_288	Plobata00000051
Plobata010000001.1_cds_CAH3032583.1_289	Plobata00000050
Plobata010000001.1_cds_CAH3032584.1_290	Plobata00000052
Plobata010000001.1_cds_CAH3032585.1_291	Plobata00000053
Plobata010000001.1_cds_CAH3032586.1_292	Plobata00000055
Plobata010000001.1_cds_CAH3032587.1_293	Plobata00000056
Plobata010000001.1_cds_CAH3032588.1_294	Plobata00000057
Plobata010000001.1_cds_CAH3032589.1_295	Plobata00000058
Plobata010000001.1_cds_CAH3032590.1_296	Plobata00000059
Plobata010000001.1_cds_CAH3032591.1_297	Plobata00000060
Plobata010000001.1_cds_CAH3032592.1_298	Plobata00000061
Plobata010000001.1_cds_CAH3032593.1_299	Plobata00000062
Plobata010000001.1_cds_CAH3032594.1_300	Plobata00000063
Plobata010000001.1_cds_CAH3032595.1_301	Plobata00000064
Plobata010000001.1_cds_CAH3032596.1_302	Plobata00000065
Plobata010000001.1_cds_CAH3032597.1_303	Plobata00000066
Plobata010000001.1_cds_CAH3032598.1_304	Plobata00000067
Plobata010000001.1_cds_CAH3032599.1_305	Plobata00000071
Plobata010000001.1_cds_CAH3032600.1_306	Plobata00000074
Plobata010000001.1_cds_CAH3032601.1_307	Plobata00000075
Plobata010000001.1_cds_CAH3032602.1_308	Plobata00000076
Plobata010000001.1_cds_CAH3032603.1_309	Plobata00000077
Plobata010000001.1_cds_CAH3032604.1_310	Plobata00000078
Plobata010000001.1_cds_CAH3032605.1_311	Plobata00000080
Plobata010000001.1_cds_CAH3032606.1_312	Plobata00000081
Plobata010000001.1_cds_CAH3032607.1_313	Plobata00000082
Plobata010000001.1_cds_CAH3032608.1_314	Plobata00000083
Plobata010000001.1_cds_CAH3032609.1_315	Plobata00000085
Plobata010000001.1_cds_CAH3032610.1_316	Plobata00000086
Plobata010000001.1_cds_CAH3032611.1_317	Plobata00000084
Plobata010000001.1_cds_CAH3032612.1_318	Plobata00000087
Plobata010000001.1_cds_CAH3032613.1_319	Plobata00000088
Plobata010000001.1_cds_CAH3032614.1_320	Plobata00000089
Plobata010000001.1_cds_CAH3032615.1_321	Plobata00000090
Plobata010000001.1_cds_CAH3032616.1_322	Plobata00000091
Plobata010000001.1_cds_CAH3032617.1_323	Plobata00000092
Plobata010000001.1_cds_CAH3032618.1_324	Plobata00000095
Plobata010000001.1_cds_CAH3032619.1_325	Plobata00000096
Plobata010000001.1_cds_CAH3032620.1_326	Plobata00000097
Plobata010000001.1_cds_CAH3032621.1_327	Plobata00000098
Plobata010000001.1_cds_CAH3032622.1_328	Plobata00000100
Plobata010000001.1_cds_CAH3032623.1_329	Plobata00000101
Plobata010000001.1_cds_CAH3032624.1_330	Plobata00000102
Plobata010000001.1_cds_CAH3032625.1_331	Plobata00000103
Plobata010000001.1_cds_CAH3032626.1_332	Plobata00000108
Plobata010000001.1_cds_CAH3032627.1_333	Plobata00000109
Plobata010000001.1_cds_CAH3032628.1_334	Plobata00000107
Plobata010000001.1_cds_CAH3032629.1_335	Plobata00000111
Plobata010000001.1_cds_CAH3032630.1_336	Plobata00000112
Plobata010000001.1_cds_CAH3032631.1_337	Plobata00000113
Plobata010000001.1_cds_CAH3032632.1_338	Plobata00000114
Plobata010000001.1_cds_CAH3032633.1_339	Plobata00000115
Plobata010000001.1_cds_CAH3032634.1_340	Plobata00000116
Plobata010000001.1_cds_CAH3032635.1_341	Plobata00000117
Plobata010000001.1_cds_CAH3032636.1_342	Plobata00000119
Plobata010000001.1_cds_CAH3032637.1_343	Plobata00000120
Plobata010000001.1_cds_CAH3032638.1_344	Plobata00000122
Plobata010000001.1_cds_CAH3032639.1_345	Plobata00000121
Plobata010000001.1_cds_CAH3032640.1_346	Plobata00000123
Plobata010000001.1_cds_CAH3032641.1_347	Plobata00000124
Plobata010000001.1_cds_CAH3032642.1_348	Plobata00000126
Plobata010000001.1_cds_CAH3032643.1_349	Plobata00000125
Plobata010000001.1_cds_CAH3032644.1_350	Plobata00000129
Plobata010000001.1_cds_CAH3032645.1_351	Plobata00000130
Plobata010000001.1_cds_CAH3032646.1_352	Plobata00000131
Plobata010000001.1_cds_CAH3032647.1_353	Plobata00000136
Plobata010000001.1_cds_CAH3032648.1_354	Plobata00000137
Plobata010000001.1_cds_CAH3032649.1_355	Plobata00000139
Plobata010000001.1_cds_CAH3032650.1_356	Plobata00000145
Plobata010000001.1_cds_CAH3032651.1_357	Plobata00000147
Plobata010000001.1_cds_CAH3032652.1_358	Plobata00000150
Plobata010000001.1_cds_CAH3032653.1_359	Plobata00000154
Plobata010000001.1_cds_CAH3032654.1_360	Plobata00000155
Plobata010000001.1_cds_CAH3032655.1_361	Plobata00000157
Plobata010000001.1_cds_CAH3032656.1_362	Plobata00000158
Plobata010000001.1_cds_CAH3032657.1_363	Plobata00000159
Plobata010000001.1_cds_CAH3032658.1_364	Plobata00000160
Plobata010000001.1_cds_CAH3032659.1_365	Plobata00000162
Plobata010000001.1_cds_CAH3032660.1_366	Plobata00000163
Plobata010000001.1_cds_CAH3032661.1_367	Plobata00000166
Plobata010000001.1_cds_CAH3032662.1_368	Plobata00000167
Plobata010000001.1_cds_CAH3032663.1_369	Plobata00000169
Plobata010000001.1_cds_CAH3032664.1_370	Plobata00000170
Plobata010000001.1_cds_CAH3032665.1_371	Plobata00000164
Plobata010000001.1_cds_CAH3032666.1_372	Plobata00000173
Plobata010000001.1_cds_CAH3032667.1_373	Plobata00000174
Plobata010000001.1_cds_CAH3032668.1_374	Plobata00000175
Plobata010000001.1_cds_CAH3032669.1_375	Plobata00000176
Plobata010000001.1_cds_CAH3032670.1_376	Plobata00000177
Plobata010000001.1_cds_CAH3032671.1_377	Plobata00000178
Plobata010000001.1_cds_CAH3032672.1_378	Plobata00000179
Plobata010000001.1_cds_CAH3032673.1_379	Plobata00000180
Plobata010000001.1_cds_CAH3032674.1_380	Plobata00000182
Plobata010000001.1_cds_CAH3032675.1_381	Plobata00000183
Plobata010000001.1_cds_CAH3032676.1_382	Plobata00000185
Plobata010000001.1_cds_CAH3032677.1_383	Plobata00000186
Plobata010000001.1_cds_CAH3032678.1_384	Plobata00000187
Plobata010000001.1_cds_CAH3032679.1_385	Plobata00000188
Plobata010000001.1_cds_CAH3032680.1_386	Plobata00000190
Plobata010000001.1_cds_CAH3032681.1_387	Plobata00000191
Plobata010000001.1_cds_CAH3032682.1_388	Plobata00000192
Plobata010000001.1_cds_CAH3032683.1_389	Plobata00000194
Plobata010000001.1_cds_CAH3032684.1_390	Plobata00000195
Plobata010000001.1_cds_CAH3032685.1_391	Plobata00000197
Plobata010000001.1_cds_CAH3032686.1_392	Plobata00000202
Plobata010000001.1_cds_CAH3032687.1_393	Plobata00000200
Plobata010000001.1_cds_CAH3032688.1_394	Plobata00000203
Plobata010000001.1_cds_CAH3032689.1_395	Plobata00000204
Plobata010000001.1_cds_CAH3032690.1_396	Plobata00000205
Plobata010000001.1_cds_CAH3032691.1_397	Plobata00000206
Plobata010000001.1_cds_CAH3032692.1_398	Plobata00000207
Plobata010000001.1_cds_CAH3032693.1_399	Plobata00000208
Plobata010000001.1_cds_CAH3032694.1_400	Plobata00000209
Plobata010000001.1_cds_CAH3032695.1_401	Plobata00000210
Plobata010000001.1_cds_CAH3032696.1_402	Plobata00000212
Plobata010000001.1_cds_CAH3032697.1_403	Plobata00000213
Plobata010000001.1_cds_CAH3032698.1_404	Plobata00000214
Plobata010000001.1_cds_CAH3032699.1_405	Plobata00000215
Plobata010000001.1_cds_CAH3032700.1_406	Plobata00000216
Plobata010000001.1_cds_CAH3032701.1_407	Plobata00000217
Plobata010000001.1_cds_CAH3032703.1_408	Plobata00000218
Plobata010000001.1_cds_CAH3032706.1_409	Plobata00000223
Plobata010000001.1_cds_CAH3032708.1_410	Plobata00000222
Plobata010000001.1_cds_CAH3032710.1_411	Plobata00000230
Plobata010000001.1_cds_CAH3032712.1_412	Plobata00000231
Plobata010000001.1_cds_CAH3032714.1_413	Plobata00000233
Plobata010000001.1_cds_CAH3032716.1_414	Plobata00000234
Plobata010000001.1_cds_CAH3032718.1_415	Plobata00000235
Plobata010000001.1_cds_CAH3032720.1_416	Plobata00000236
Plobata010000001.1_cds_CAH3032722.1_417	Plobata00000237
Plobata010000001.1_cds_CAH3032724.1_418	Plobata00000238
Plobata010000001.1_cds_CAH3032726.1_419	Plobata00000242
Plobata010000001.1_cds_CAH3032727.1_420	Plobata00000243
Plobata010000001.1_cds_CAH3032728.1_421	Plobata00000244
Plobata010000001.1_cds_CAH3032729.1_422	Plobata00000245
Plobata010000001.1_cds_CAH3032730.1_423	Plobata00000247
Plobata010000001.1_cds_CAH3032731.1_424	Plobata00000248
Plobata010000001.1_cds_CAH3032732.1_425	Plobata00000249
Plobata010000001.1_cds_CAH3032733.1_426	Plobata00000250
Plobata010000001.1_cds_CAH3032734.1_427	Plobata00000251
Plobata010000001.1_cds_CAH3032735.1_428	Plobata00000252
Plobata010000001.1_cds_CAH3032736.1_429	Plobata00000253
Plobata010000001.1_cds_CAH3032737.1_430	Plobata00000254
Plobata010000001.1_cds_CAH3032738.1_431	Plobata00000255
Plobata010000001.1_cds_CAH3032739.1_432	Plobata00000256
Plobata010000001.1_cds_CAH3032740.1_433	Plobata00000258
Plobata010000001.1_cds_CAH3032741.1_434	Plobata00000259
Plobata010000001.1_cds_CAH3032742.1_435	Plobata00000260
Plobata010000001.1_cds_CAH3032743.1_436	Plobata00000261
