Plobata010000919	K10380
Plobata010000556	K18933
Plobata010000747	K04967
Plobata010000208	K10382
Plobata010000375	K11757
Plobata010000809	K24936
Plobata010000069	K24936
Plobata010000137	K16910
Plobata010000244	K05695
Plobata010000094	K24333
Plobata010000765	K22647
Plobata010000708	K22754
Plobata010000382	K04362
Plobata010000272	K04148
Plobata010000310	K04989
Plobata010000507	K04362
Plobata010000492	K04362
Plobata010000343	K05126
Plobata010000192	K04987
Plobata010000538	K17263
Plobata010000263	K06825
Plobata010000911	K08375
Plobata010000470	K01135
Plobata010000121	K18405
Plobata010000532	K16175
Plobata010000644	K10297
Plobata010000632	K04362
Plobata010000068	K06271
Plobata010000267	K02599
Plobata010000658	K22023
Plobata010000158	K12805
Plobata010000639	K09255
Plobata010000423	K06777
Plobata010000549	K26273
Plobata010000142	K22128
Plobata010000441	K24936
Plobata010000627	K05695
Plobata010000179	K12567
Plobata010000499	K04266
Plobata010000601	K03174
Plobata010000525	K06792
Plobata010000079	K16669
Plobata010000818	K15521
Plobata010000994	K03257
Plobata010000029	K06826
Plobata010000104	K17341
Plobata010000219	K16543
Plobata010000182	K07422
Plobata010000282	K10356
Plobata010000696	K22790
Plobata010000681	K24936
Plobata010000555	K04398
Plobata010000047	K12823
Plobata010000078	K12385
Plobata010000298	K08465
Plobata010000224	K04437
Plobata010000575	K05673
Plobata010000325	K06825
Plobata010000861	K01349
Plobata010000621	K19511
Plobata010000444	K22614
Plobata010000762	K11154
Plobata010000299	K09255
Plobata010000535	K27262
Plobata010000615	K04593
Plobata010000247	K04988
Plobata010000161	K10349
Plobata010000184	K25168
Plobata010000487	K15521
Plobata010000500	K20180
Plobata010000018	K10408
Plobata010000650	K02599
Plobata010000558	K24936
Plobata010000093	K21396
Plobata010000291	K24936
Plobata010000333	K24936
Plobata010000700	K22017
Plobata010000174	K17341
Plobata010000283	K05181
Plobata010000338	K04362
Plobata010000150	K06236
Plobata010000166	K11699
Plobata010000438	K20865
Plobata010000840	K24936
Plobata010000546	K12472
Plobata010000491	K17535
Plobata010000508	K11643
Plobata010000082	K10396
Plobata010000034	K06238
Plobata010000430	K06825
Plobata010000134	K10408
Plobata010000460	K24936
Plobata010000663	K04612
Plobata010000594	K24936
Plobata010000260	K00710
Plobata010000194	K27391
Plobata010000606	K01135
Plobata010000612	K24936
Plobata010000348	K12132
Plobata010000400	K10642
Plobata010000960	K15332
Plobata010000566	K17341
Plobata010000823	K03877
Plobata010000072	K22262
Plobata010000412	K01316
Plobata010000201	K06768
Plobata010000490	K18809
Plobata010000014	K04988
Plobata010000353	K10858
Plobata010000169	K02599
Plobata010000067	K04601
Plobata010000721	K04266
Plobata010000187	K15261
Plobata010000083	K16506
Plobata010000105	K15381
Plobata010000422	K22754
Plobata010000021	K07752
Plobata010000057	K24706
Plobata010000691	K09657
Plobata010000462	K12805
Plobata010000356	K12616
Plobata010000786	K08864
Plobata010000253	K13912
Plobata010000795	K04445
Plobata010000519	K24936
Plobata010000035	K09188
Plobata010000135	K19511
Plobata010000331	K08844
Plobata010000528	K12815
Plobata010000004	K10408
Plobata010000731	K05704
Plobata010000246	K21440
Plobata010000699	K07298
Plobata010000077	K25552
Plobata010000851	K17535
Plobata010000806	K04615
Plobata010000160	K27391
Plobata010000895	K18274
Plobata010000223	K19360
Plobata010000052	K06640
Plobata010000866	K00069
Plobata010000154	K11699
Plobata010000534	K09849
Plobata010000016	K08202
Plobata010000361	K22869
Plobata010000258	K12480
Plobata010000457	K19360
Plobata010000379	K12805
Plobata010000787	K08629
Plobata010000646	K16609
Plobata010000167	K24464
Plobata010000360	K11978
Plobata010000129	K10798
Plobata010000009	K22754
Plobata010000599	K21922
Plobata010000442	K06255
Plobata010000985	K21423
Plobata010000788	K17513
Plobata010000062	K14401
Plobata010000841	K17341
Plobata010001032	K10408
Plobata010000845	K24936
Plobata010000828	K03849
Plobata010000168	K08874
Plobata010000339	K13912
Plobata010000193	K26118
Plobata010000254	K06825
Plobata010000309	K24936
Plobata010000867	K22790
Plobata010000407	K12021
Plobata010000013	K22017
Plobata010000234	K15521
Plobata010000433	K23342
Plobata010000480	K06825
Plobata010000381	K18933
Plobata010000474	K11253
Plobata010000337	K01556
Plobata010001039	K00857
Plobata010000583	K16175
Plobata010000245	K23820
Plobata010000071	K17341
Plobata010000604	K06724
Plobata010000209	K21852
Plobata010000089	K08844
Plobata010000676	K24936
Plobata010000155	K17307
Plobata010000782	K04142
Plobata010000106	K24936
Plobata010000609	K24936
Plobata010000202	K20051
Plobata010000041	K00162
Plobata010000392	K22614
Plobata010000777	K02599
Plobata010000641	K04828
Plobata010000746	K22023
Plobata010000151	K04134
Plobata010000374	K24936
Plobata010000709	K22754
Plobata010000347	K15261
